
[Name]
commenface_dingzi_waike

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
5.12160361e-002, 3.12569775e-002, 1.63686976e-001, 3.01378448e+002
5.00402898e-002, 3.31066586e-002, 1.65651262e-001, 3.01238739e+002
5.00402823e-002, 3.31066735e-002, 1.63686976e-001, 3.01337067e+002
5.23234606e-002, 2.93655507e-002, 1.67615548e-001, 3.01069061e+002
5.12160510e-002, 3.12569551e-002, 1.67615548e-001, 3.01067108e+002
5.00403158e-002, 3.31066251e-002, 1.69579834e-001, 3.00785095e+002
5.00403009e-002, 3.31066400e-002, 1.67615548e-001, 3.01042877e+002
5.43274209e-002, 2.54678130e-002, 1.65651262e-001, 3.01181366e+002
5.52212968e-002, 2.34666876e-002, 1.65651262e-001, 3.01115570e+002
5.52213006e-002, 2.34666765e-002, 1.63686976e-001, 3.01235382e+002
5.43274246e-002, 2.54678074e-002, 1.63686976e-001, 3.01301239e+002
5.33610471e-002, 2.74349768e-002, 1.65651262e-001, 3.01239532e+002
5.33610471e-002, 2.74349749e-002, 1.63686976e-001, 3.01352325e+002
5.52212931e-002, 2.34666988e-002, 1.67615548e-001, 3.00911530e+002
5.43274172e-002, 2.54678205e-002, 1.67615548e-001, 3.00976349e+002
5.33610471e-002, 2.74349768e-002, 1.67615548e-001, 3.01032288e+002
4.61192578e-002, 3.83809470e-002, 1.69579834e-001, 3.00636261e+002
4.46867943e-002, 4.00396548e-002, 1.71544135e-001, 3.00342804e+002
4.61192764e-002, 3.83809246e-002, 1.71544135e-001, 3.00370789e+002
4.46867831e-002, 4.00396660e-002, 1.69579834e-001, 3.00608307e+002
4.31946889e-002, 4.16449569e-002, 1.71544135e-001, 3.00329956e+002
4.61193062e-002, 3.83808911e-002, 1.73508421e-001, 3.00087067e+002
4.46867831e-002, 4.00396809e-002, 1.75472692e-001, 3.00967133e+002
4.61193882e-002, 3.83808389e-002, 1.75472692e-001, 3.01016876e+002
4.46867980e-002, 4.00396474e-002, 1.73508421e-001, 3.00060699e+002
4.31945845e-002, 4.16450612e-002, 1.75472692e-001, 3.00938324e+002
4.31946665e-002, 4.16449755e-002, 1.73508421e-001, 3.00047211e+002
4.74902093e-002, 3.66710052e-002, 1.69579834e-001, 3.00684326e+002
4.74902317e-002, 3.66709791e-002, 1.71544120e-001, 3.00411163e+002
4.74902764e-002, 3.66709158e-002, 1.73508421e-001, 3.00125183e+002
4.87978272e-002, 3.49120945e-002, 1.71544120e-001, 3.00460632e+002
4.87978049e-002, 3.49121243e-002, 1.69579834e-001, 3.00738800e+002
4.87980880e-002, 3.49118635e-002, 1.75472692e-001, 3.01180267e+002
4.87978794e-002, 3.49120237e-002, 1.73508406e-001, 3.00167816e+002
4.74904440e-002, 3.66707966e-002, 1.75472692e-001, 3.01086761e+002
4.61192429e-002, 3.83809656e-002, 1.65651262e-001, 3.01055145e+002
4.61192392e-002, 3.83809730e-002, 1.63686976e-001, 3.01145905e+002
4.46867757e-002, 4.00396734e-002, 1.65651262e-001, 3.01011353e+002
4.46867719e-002, 4.00396772e-002, 1.63686976e-001, 3.01100128e+002
4.31946926e-002, 4.16449495e-002, 1.65651262e-001, 3.00990753e+002
